,user_id,category,activity,rating
0,0,amenities,pool,4
1,0,amenities,spa,1
2,0,amenities,gym,3
3,0,amenities,tennis_court,5
4,0,amenities,business_center,5
5,0,dining,main_restaurant,4
6,0,dining,cafe,1
7,0,dining,bar,5
8,0,dining,room_service,5
9,0,dining,buffet,4
10,0,activities,city_tour,2
11,0,activities,beach_activity,2
12,0,activities,cooking_class,1
13,0,activities,yoga,3
14,0,activities,golf,4
15,1,amenities,pool,4
16,1,amenities,spa,1
17,1,amenities,gym,2
18,1,amenities,tennis_court,4
19,1,amenities,business_center,2
20,1,dining,main_restaurant,4
21,1,dining,cafe,2
22,1,dining,bar,2
23,1,dining,room_service,2
24,1,dining,buffet,4
25,1,activities,city_tour,4
26,1,activities,beach_activity,1
27,1,activities,cooking_class,1
28,1,activities,yoga,3
29,1,activities,golf,2
30,2,amenities,pool,2
31,2,amenities,spa,5
32,2,amenities,gym,4
33,2,amenities,tennis_court,1
34,2,amenities,business_center,1
35,2,dining,main_restaurant,5
36,2,dining,cafe,3
37,2,dining,bar,5
38,2,dining,room_service,1
39,2,dining,buffet,2
40,2,activities,city_tour,3
41,2,activities,beach_activity,3
42,2,activities,cooking_class,1
43,2,activities,yoga,2
44,2,activities,golf,3
45,3,amenities,pool,3
46,3,amenities,spa,3
47,3,amenities,gym,3
48,3,amenities,tennis_court,4
49,3,amenities,business_center,4
50,3,dining,main_restaurant,4
51,3,dining,cafe,1
52,3,dining,bar,1
53,3,dining,room_service,5
54,3,dining,buffet,2
55,3,activities,city_tour,5
56,3,activities,beach_activity,3
57,3,activities,cooking_class,1
58,3,activities,yoga,3
59,3,activities,golf,5
60,4,amenities,pool,3
61,4,amenities,spa,4
62,4,amenities,gym,4
63,4,amenities,tennis_court,5
64,4,amenities,business_center,4
65,4,dining,main_restaurant,2
66,4,dining,cafe,5
67,4,dining,bar,5
68,4,dining,room_service,1
69,4,dining,buffet,1
70,4,activities,city_tour,3
71,4,activities,beach_activity,3
72,4,activities,cooking_class,3
73,4,activities,yoga,1
74,4,activities,golf,4
75,5,amenities,pool,4
76,5,amenities,spa,4
77,5,amenities,gym,4
78,5,amenities,tennis_court,4
79,5,amenities,business_center,1
80,5,dining,main_restaurant,4
81,5,dining,cafe,4
82,5,dining,bar,5
83,5,dining,room_service,2
84,5,dining,buffet,5
85,5,activities,city_tour,1
86,5,activities,beach_activity,2
87,5,activities,cooking_class,1
88,5,activities,yoga,2
89,5,activities,golf,1
90,6,amenities,pool,2
91,6,amenities,spa,1
92,6,amenities,gym,4
93,6,amenities,tennis_court,3
94,6,amenities,business_center,1
95,6,dining,main_restaurant,3
96,6,dining,cafe,2
97,6,dining,bar,1
98,6,dining,room_service,2
99,6,dining,buffet,5
100,6,activities,city_tour,4
101,6,activities,beach_activity,4
102,6,activities,cooking_class,1
103,6,activities,yoga,5
104,6,activities,golf,4
105,7,amenities,pool,4
106,7,amenities,spa,2
107,7,amenities,gym,3
108,7,amenities,tennis_court,3
109,7,amenities,business_center,4
110,7,dining,main_restaurant,3
111,7,dining,cafe,1
112,7,dining,bar,3
113,7,dining,room_service,2
114,7,dining,buffet,5
115,7,activities,city_tour,4
116,7,activities,beach_activity,4
117,7,activities,cooking_class,5
118,7,activities,yoga,1
119,7,activities,golf,5
120,8,amenities,pool,4
121,8,amenities,spa,5
122,8,amenities,gym,2
123,8,amenities,tennis_court,3
124,8,amenities,business_center,2
125,8,dining,main_restaurant,1
126,8,dining,cafe,1
127,8,dining,bar,5
128,8,dining,room_service,4
129,8,dining,buffet,2
130,8,activities,city_tour,3
131,8,activities,beach_activity,1
132,8,activities,cooking_class,4
133,8,activities,yoga,1
134,8,activities,golf,4
135,9,amenities,pool,5
136,9,amenities,spa,4
137,9,amenities,gym,3
138,9,amenities,tennis_court,4
139,9,amenities,business_center,1
140,9,dining,main_restaurant,4
141,9,dining,cafe,5
142,9,dining,bar,4
143,9,dining,room_service,4
144,9,dining,buffet,4
145,9,activities,city_tour,4
146,9,activities,beach_activity,2
147,9,activities,cooking_class,4
148,9,activities,yoga,5
149,9,activities,golf,5
150,10,amenities,pool,3
151,10,amenities,spa,4
152,10,amenities,gym,5
153,10,amenities,tennis_court,1
154,10,amenities,business_center,4
155,10,dining,main_restaurant,2
156,10,dining,cafe,1
157,10,dining,bar,1
158,10,dining,room_service,3
159,10,dining,buffet,2
160,10,activities,city_tour,3
161,10,activities,beach_activity,2
162,10,activities,cooking_class,2
163,10,activities,yoga,2
164,10,activities,golf,5
165,11,amenities,pool,4
166,11,amenities,spa,5
167,11,amenities,gym,4
168,11,amenities,tennis_court,4
169,11,amenities,business_center,1
170,11,dining,main_restaurant,3
171,11,dining,cafe,4
172,11,dining,bar,4
173,11,dining,room_service,5
174,11,dining,buffet,2
175,11,activities,city_tour,5
176,11,activities,beach_activity,2
177,11,activities,cooking_class,2
178,11,activities,yoga,4
179,11,activities,golf,3
180,12,amenities,pool,3
181,12,amenities,spa,4
182,12,amenities,gym,5
183,12,amenities,tennis_court,5
184,12,amenities,business_center,1
185,12,dining,main_restaurant,5
186,12,dining,cafe,4
187,12,dining,bar,1
188,12,dining,room_service,1
189,12,dining,buffet,4
190,12,activities,city_tour,5
191,12,activities,beach_activity,4
192,12,activities,cooking_class,5
193,12,activities,yoga,4
194,12,activities,golf,5
195,13,amenities,pool,4
196,13,amenities,spa,5
197,13,amenities,gym,1
198,13,amenities,tennis_court,1
199,13,amenities,business_center,3
200,13,dining,main_restaurant,1
201,13,dining,cafe,3
202,13,dining,bar,5
203,13,dining,room_service,5
204,13,dining,buffet,1
205,13,activities,city_tour,1
206,13,activities,beach_activity,2
207,13,activities,cooking_class,5
208,13,activities,yoga,5
209,13,activities,golf,1
210,14,amenities,pool,5
211,14,amenities,spa,1
212,14,amenities,gym,1
213,14,amenities,tennis_court,1
214,14,amenities,business_center,1
215,14,dining,main_restaurant,3
216,14,dining,cafe,2
217,14,dining,bar,2
218,14,dining,room_service,2
